zm	PCA 1	PCA 2
other_signal	-1.268773357	1.359933901
other_signal	-0.159650484	2.362637624
other_signal	-1.312230734	1.84955026
other_signal	-0.622740988	3.120106423
other_signal	-1.591227595	0.222551206
other_signal	-2.232512584	-1.608932121
other_signal	-0.962157038	0.009672082
other_signal	-1.606913793	-0.755931372
other_signal	-1.777038782	1.518377446
other_signal	-1.735503725	-1.681812937
other_signal	-1.827173908	-2.045743702
other_signal	-0.719810966	1.716329333
other_signal	-0.267277463	5.123172522
other_signal	-1.143833533	-0.394071188
other_signal	-2.062598714	-0.18326577
other_signal	-1.992789849	0.939989565
other_signal	-1.348399691	1.132196134
other_signal	-1.958258471	-0.980300589
other_signal	-2.102606211	-0.981182433
other_signal	-2.319705783	-0.860252031
other_signal	-1.458409637	0.357069194
other_signal	-2.15014065	-0.948233518
other_signal	-1.170084816	2.168754156
other_signal	-2.730015311	0.482510161
other_signal	-2.72590048	0.636795151
other_signal	-2.286647807	-0.184430975
other_signal	-0.373176277	0.797019799
other_signal	-1.777854972	-0.398405619
other_signal	-2.311046289	0.379087457
other_signal	-1.650299993	1.752601623
other_signal	-2.071261367	0.576363709
other_signal	-2.521070703	-0.09481198
other_signal	-1.763602652	0.675050973
other_signal	-2.190297457	-0.603820681
other_signal	-3.752114322	1.062301239
other_signal	-1.232765658	1.237159344
other_signal	-2.517140238	1.036109668
other_signal	-2.693378539	0.130431711
other_signal	-1.64963776	0.924820028
other_signal	-1.64963776	0.924820028
other_signal	-3.047560899	-0.015725945
other_signal	-0.826558385	0.548739528
other_signal	-2.670804341	-0.660341899
other_signal	-0.939669098	1.314776696
other_signal	-0.628090867	2.054973705
other_signal	-1.168508816	0.846549462
other_signal	-2.860060563	-0.042690598
other_signal	-2.576943915	-0.578832662
other_signal	-2.196249543	1.225908004
other_signal	-1.854468332	1.724276502
other_signal	-2.248526858	0.917562219
other_signal	-1.927670449	1.116543347
other_signal	-1.803122469	0.43535017
other_signal	-1.794794102	-2.54263593
other_signal	-1.501503875	-4.184614823
other_signal	-0.379286133	1.834169074
other_signal	-1.474849671	0.232861536
other_signal	-1.309962634	-2.697708035
other_signal	-1.996071827	-0.287555231
other_signal	-2.001304693	-1.153934836
other_signal	-1.558030513	-0.361916513
other_signal	-1.263507976	0.091713102
other_signal	-2.757899637	-0.80795269
other_signal	-2.698359902	-1.23333433
other_signal	-2.704111719	-0.911399125
other_signal	-2.011782693	-0.424058612
other_signal	-2.155147691	-1.19498407
other_signal	-1.162661697	-0.507433352
other_signal	-3.224464496	-1.858648069
other_signal	-2.034736737	-2.351255003
other_signal	-2.789825203	-1.725819161
other_signal	-1.426624848	-2.809549006
other_signal	0.045931175	0.540304831
other_signal	-1.574149546	2.094920771
other_signal	-2.067240541	1.061593083
other_signal	-0.607799061	0.69348787
other_signal	-1.661552441	1.415910775
other_signal	-1.701535409	2.219215521
other_signal	-2.163199828	-3.164577613
other_signal	-1.361728567	-2.027402846
other_signal	-3.701842409	-1.466308061
other_signal	-1.649415676	0.732207436
other_signal	-1.964133387	0.473282356
other_signal	-1.07174382	3.93290592
other_signal	-2.985797856	0.615309838
other_signal	-2.359224635	-2.364647065
other_signal	-1.63144707	0.293851031
other_signal	-1.236954257	3.779027543
other_signal	-2.505332962	-0.146165361
other_signal	-1.827006916	3.350901324
other_signal	-1.697901002	0.638156552
other_signal	-2.421494538	0.133102767
other_signal	-1.74387751	0.456581528
other_signal	-1.577219797	-1.476083296
other_signal	-1.776049969	-4.285918006
other_signal	-2.958564116	-2.102774626
other_signal	-1.045456554	-2.145545816
other_signal	-1.564366418	-2.316437657
other_signal	-2.19305258	0.919319801
other_signal	-1.648547209	0.704532316
other_signal	-1.412086233	-4.394027909
other_signal	-1.30169652	0.330871578
other_signal	-1.111967727	1.054557224
other_signal	-1.30169652	0.330871578
other_signal	0.186279475	1.350347802
other_signal	-2.115997948	0.174452772
other_signal	-1.142801999	0.83236051
other_signal	-1.799929222	1.185777048
other_signal	-1.834484504	0.719846071
other_signal	-1.987455009	1.253392547
other_signal	-2.327630912	0.316836325
other_signal	-2.39170225	1.106991549
other_signal	-1.973671834	1.076954613
other_signal	-1.973671834	1.076954613
other_signal	-1.973671834	1.076954613
other_signal	-1.965359149	1.308853364
other_signal	-0.724925152	-0.135982043
other_signal	-2.215189297	0.889134359
other_signal	-1.973671834	1.076954613
other_signal	-2.469038076	1.164009085
other_signal	-1.973671834	1.076954613
other_signal	-0.508698887	4.846784492
other_signal	-1.733130388	1.754191674
other_signal	-2.736173766	3.038140463
other_signal	-0.009343319	2.911604653
other_signal	-1.842109824	-1.722930364
other_signal	-1.827402913	-1.799786954
other_signal	-1.887670304	-2.113897408
other_signal	-2.138008789	-1.82134791
other_signal	-1.89796517	0.039913134
other_signal	-0.507537868	3.186626173
other_signal	-1.943489122	-3.728630969
other_signal	-2.335670601	-1.629989606
other_signal	-0.983677182	-0.847201635
other_signal	-1.919687398	-1.287661161
other_signal	-2.392175358	-3.945693333
other_signal	-1.594899843	1.52972018
other_signal	-1.594899843	1.52972018
other_signal	-1.83935466	2.615017673
other_signal	1.087935868	-2.156878927
other_signal	-2.42435403	2.140773497
other_signal	-2.70309484	1.417568731
other_signal	-0.668208012	2.706802277
other_signal	-0.582870323	2.457631355
other_signal	-1.434521927	2.146089343
other_signal	-2.327303973	1.093525672
other_signal	-2.172661734	1.703668551
other_signal	-2.954265343	1.286138604
other_signal	-0.654338204	3.795864914
other_signal	-2.978548679	0.681176318
other_signal	-3.041015985	0.552962711
other_signal	-3.068357835	2.545502466
other_signal	-0.737267539	1.889989914
other_signal	-2.930231382	1.549683842
other_signal	-2.930231382	1.549683842
other_signal	-1.36612845	0.961977397
other_signal	-1.424218641	1.114842916
other_signal	-2.241068539	0.656733195
other_signal	-2.89968868	-0.26126538
other_signal	-2.791917773	3.578595963
other_signal	-1.79765832	3.986563877
other_signal	-2.478230215	2.511828914
other_signal	-2.595807495	1.837592883
other_signal	-2.309585502	1.75312122
other_signal	-2.291287595	-2.172250285
other_signal	-1.336253366	-1.232169905
other_signal	-2.180966106	-1.435828496
other_signal	-1.717733815	-1.61225275
other_signal	-2.350124674	-2.338865739
other_signal	-1.585154487	-1.556374931
other_signal	-2.268487019	-2.461449689
other_signal	-1.451454021	-1.212713682
other_signal	-1.57370249	1.235778118
other_signal	-1.300875594	-0.719882008
other_signal	-0.42374277	1.6917244
other_signal	-2.036072894	1.172026558
other_signal	-1.917552564	-2.24581597
other_signal	-1.73028993	-1.539728161
other_signal	-1.927011396	-1.639350054
other_signal	-1.792367496	-0.356117688
other_signal	0.002876262	1.875405305
other_signal	-1.666326316	-0.539393875
other_signal	-2.459530419	-0.78835708
other_signal	-3.182202227	-1.975389182
other_signal	-2.520635821	-0.734408466
other_signal	-2.795220034	-0.269626289
other_signal	-2.019728105	-3.98923892
other_signal	-1.252229116	0.339888446
other_signal	-2.405949032	-2.180127204
other_signal	-3.283234495	-1.541572997
other_signal	-1.532461449	0.864135784
other_signal	-2.898079216	-1.56642398
other_signal	-2.971904538	-1.43356011
other_signal	-1.583910047	2.317319674
other_signal	-1.122650193	-0.704806587
other_signal	-2.275116236	-2.676812567
other_signal	-3.270647476	0.819625383
other_signal	-0.299296736	1.917700657
other_signal	-2.86936933	0.082040709
other_signal	-2.191219073	1.66916228
other_signal	-1.746373373	2.214200057
other_signal	-1.530019345	1.240555017
other_signal	-2.554300172	-0.353052308
other_signal	-2.236386022	1.64059748
other_signal	-1.107421736	1.283716192
other_signal	-1.432915909	1.386941303
other_signal	-1.733165644	2.05933207
other_signal	-0.779431452	3.000949049
other_signal	-2.257954053	-0.567561807
other_signal	-2.260180604	-0.582659557
other_signal	-2.265079211	-0.766332165
other_signal	-1.508570981	1.692770088
other_signal	-1.027718708	0.078751868
other_signal	-0.890507007	2.19038915
other_signal	-1.717189745	1.353483984
other_signal	-2.396071266	-1.595143094
other_signal	-2.297392371	-0.67062082
other_signal	-2.239841829	-0.801109278
other_signal	-1.767578245	-1.41265735
other_signal	-1.763911206	1.972166614
other_signal	0.816892223	5.592071793
other_signal	-2.167452956	1.821251725
other_signal	-1.582485192	2.24709394
other_signal	-1.462177274	-0.955226484
other_signal	-2.762293458	-1.255872612
other_signal	-3.118776192	-1.660773706
other_signal	-2.283835605	-2.169812451
other_signal	-1.354508845	-0.744676263
other_signal	-2.59992503	-2.5444437
other_signal	-1.176382203	-1.367515794
other_signal	-2.167133381	1.714332977
other_signal	-2.33466463	-2.497838114
other_signal	-2.570411156	-1.485629326
other_signal	-0.272234396	-0.339703211
other_signal	-2.997222139	-2.230128504
other_signal	-2.144166321	-0.568301257
other_signal	-2.627060604	-2.862996539
other_signal	-2.585743937	-2.250751259
other_signal	-2.921442829	-2.526938011
other_signal	-3.071147182	-0.620642098
other_signal	-1.482895176	0.164820121
other_signal	-1.348007629	-0.916998654
other_signal	-2.128235652	-0.887429971
other_signal	-1.969282813	1.039056692
other_signal	-1.625858904	0.206498901
other_signal	0.0949558	3.087750153
other_signal	-0.308976484	-1.491108526
other_signal	-1.767052269	0.834285437
other_signal	-1.167811096	2.239553848
other_signal	-2.228704939	-0.426687809
other_signal	-1.65513222	0.392924287
other_signal	-0.979018026	2.470856132
other_signal	-0.546935894	1.909069596
other_signal	-3.037163847	-0.463312016
other_signal	-1.270252469	-0.186233846
other_signal	-1.006351006	-1.314101897
other_signal	-1.731170945	-1.564452581
other_signal	-1.936532189	0.019608091
other_signal	-2.223699016	-1.509027178
other_signal	-2.154400867	-2.695998841
other_signal	-1.572592004	-3.044451644
other_signal	-1.827549379	-3.201449779
other_signal	-1.15866407	-1.217983012
other_signal	-2.570227102	-2.580707907
other_signal	-1.558080048	0.256930153
other_signal	-2.016489923	2.247353698
other_signal	-2.52010775	1.372406445
other_signal	-2.566113665	0.35083972
other_signal	-2.483804781	2.292803168
other_signal	-2.188285615	1.375299671
other_signal	0.558773982	1.076695873
other_signal	-2.371011	3.316185182
